time,Still current [mA],MC current [mA],MC [mK](RuOx),MC [mK](CMN),ST [mK],CP [mK],4K [mK],Flow [ml/min],PCOMP [mBar],ST P [mBar],4He Dump [mBar],3He Dump [mBar],MC power fit [uW],MC power measured [uW]
2025-04-17 03:19:42-04:00,6,0.0,8.97237,8.45505,763.821,94.6998,2382.67,737.507,297.924,0.06142,181.319,80.5861,256.08,312.4
2025-04-17 04:32:45-04:00,6,0.5,31.7738,31.6561,768.69,97.9466,2383.82,744.915,310.109,0.061849,181.319,80.5861,256.08,312.4
2025-04-17 05:32:47-04:00,6,1.0,58.6709,63.2712,734.293,106.688,2383.68,764.202,310.134,0.06262,181.319,80.5861,256.08,312.4
2025-04-17 06:14:50-04:00,6,1.5,85.5726,94.2885,707.717,117.725,2386.32,787.667,322.344,0.063908,181.319,80.5861,256.08,312.4
2025-04-17 15:33:20-04:00,6,0.0,8.81025,8.25635,716.157,91.4682,2375.89,734.048,294.812,0.0613,181.319,40.9029,258.62,279.65
2025-04-17 17:17:26-04:00,6,0.5,32.9712,32.9587,712.128,96.6583,2384.64,735.28,297.924,0.061309,181.319,40.9035,258.62,279.65
2025-04-17 18:23:30-04:00,6,1.0,59.4869,63.9695,724.336,104.916,2384.78,759.463,310.134,0.062473,181.319,40.9035,258.62,279.65
2025-04-17 19:27:34-04:00,6,1.5,89.9303,99.3238,718.994,120.42,2378.39,783.864,321.514,0.063543,181.319,40.9035,258.62,279.65
2025-04-17 23:44:49-04:00,8,0.0,9.02019,8.65877,765.193,94.4017,2397.48,822.38,310.183,0.065645,181.319,40.8921,347.75,364.81
2025-04-18 01:14:52-04:00,8,0.5,31.1314,30.8948,760.746,97.717,2393.39,826.489,316.19,0.065813,181.319,40.8764,347.75,364.81
2025-04-18 02:13:55-04:00,8,1.0,55.938,60.1712,754.817,105.946,2397.61,846.786,322.344,0.066623,181.319,40.9035,347.75,364.81
2025-04-18 02:49:57-04:00,8,1.5,80.0439,87.8399,753.34,115.218,2399.67,894.283,346.764,0.06879,181.319,40.9035,347.75,364.81
2025-04-18 18:51:49-04:00,6,0.0,8.70139,8.19417,719.196,90.7215,2383.74,752.158,297.924,0.062231,181.319,10.3785,262.34,284.52
2025-04-18 20:24:53-04:00,6,0.5,31.9139,31.752,715.75,94.1092,2389.34,765.0,310.134,0.06281,181.319,10.3785,262.34,284.52
2025-04-18 21:25:56-04:00,6,1.0,58.0628,62.5066,703.875,102.891,2390.91,775.986,310.134,0.063607,181.319,10.3785,262.34,284.52
2025-04-18 22:32:59-04:00,6,1.5,88.9505,98.5004,685.115,118.241,2386.25,801.497,322.344,0.064588,181.319,10.3785,262.34,284.52
2025-04-19 02:38:19-04:00,8,0.0,9.01493,8.5902,743.009,93.4023,2405.41,844.602,322.344,0.066587,181.319,10.3785,326.8,343.73
2025-04-19 04:08:24-04:00,8,0.5,30.7902,30.4762,737.934,96.5628,2403.16,848.962,322.344,0.06696,181.319,10.3785,326.8,343.73
2025-04-19 05:12:28-04:00,8,1.0,55.401,59.5344,727.751,104.842,2404.11,874.801,334.554,0.067861,181.319,10.3785,326.8,343.73
2025-04-19 06:02:30-04:00,8,1.5,81.6822,90.4559,725.039,116.109,2405.09,942.558,346.764,0.072291,181.319,10.3785,326.8,343.73
2025-04-19 09:32:41-04:00,10,0.0,9.15505,8.6514,773.895,94.7138,2421.08,964.941,346.764,0.072628,181.319,10.3785,382.8,401.16
2025-04-19 10:46:45-04:00,10,0.5,28.8461,28.32,770.572,97.7858,2425.07,974.433,346.764,0.072973,181.319,10.3785,382.8,401.16
2025-04-19 11:52:49-04:00,10,1.0,52.085,55.677,762.332,105.983,2427.55,991.89,358.974,0.074147,181.319,10.3785,382.8,401.16
2025-04-19 12:37:50-04:00,10,1.5,76.0277,83.3333,753.382,115.486,2428.29,1019.39,364.416,0.075815,181.319,10.3785,382.8,401.16
